edit_idx,pre_edit,post_edit,pre_edit_norm,post_edit_norm,label,is_good,response_changed
28,Good,. or or,good,Abstention,bad,0,1
28,Good,after. or,good,Invalid,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Bad,or,bad,Invalid,bad,0,1
28,Good,"after.,",good,Invalid,bad,0,1
28,Good,...  instead,good,Invalid,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Good,after. or,good,Invalid,bad,0,1
28,Bad,after. or,bad,Invalid,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Good,or or or,good,Invalid,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Good,related to the,good,Invalid,bad,0,1
28,Good,after. or,good,Invalid,bad,0,1
28,Bad,"after.,",bad,Invalid,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Good,or or or,good,Invalid,bad,0,1
28,Bad,. or or,bad,Abstention,bad,0,1
28,Bad,. or or,bad,Abstention,bad,0,1
28,Good,after. or,good,Invalid,bad,0,1
28,Bad,. or or,bad,Abstention,bad,0,1
28,Good,. or or,good,Abstention,bad,0,1
28,Good,after or toward,good,Abstention,bad,0,1
28,Good,. or or,good,Abstention,bad,0,1
28,Good,. or or,good,Abstention,bad,0,1
28,Good,,good,Invalid,bad,0,1
28,Good,after. or,good,Invalid,bad,0,1
28,Good,or or or,good,Invalid,bad,0,1
28,Bad,. or or,bad,Abstention,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Good,or or or,good,Invalid,bad,0,1
28,Good,or or or,good,Invalid,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Good,"after.,",good,Invalid,bad,0,1
28,���,after. or,Invalid,Invalid,bad,0,1
28,Good,related to the,good,Invalid,bad,0,1
28,Good,after. or,good,Invalid,bad,0,1
28,Good,after. or,good,Invalid,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Good,or or or,good,Invalid,bad,0,1
28,Good,. or or,good,Abstention,bad,0,1
28,Good,after. or,good,Invalid,bad,0,1
28,Good,. or or,good,Abstention,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Good,. or or,good,Abstention,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Bad,. or or,bad,Abstention,bad,0,1
28,Bad,. or or,bad,Abstention,bad,0,1
28,Good,after the,good,Abstention,bad,0,1
28,Good,. or or,good,Abstention,bad,0,1
28,Bad,. or or,bad,Abstention,bad,0,1
28,Note,after. or,Invalid,Invalid,bad,0,1
28,Bad,. or or,bad,Abstention,bad,0,1
28,Bad,. or or,bad,Abstention,bad,0,1
28,���,after,Invalid,Abstention,bad,0,1
28,Good,after. or,good,Invalid,bad,0,1
28,Bad,. or or,bad,Abstention,bad,0,1
28,Bad,after,bad,Abstention,bad,0,1
28,Good,. or or,good,Abstention,bad,0,1
28,Bad,. or or,bad,Abstention,bad,0,1
28,Good,after. or,good,Invalid,bad,0,1
28,Note,after. or,Invalid,Invalid,bad,0,1
28,Good,. or or,good,Abstention,bad,0,1
28,Bad,. or or,bad,Abstention,bad,0,1
28,Good,. or or,good,Abstention,bad,0,1
28,Good,"after.,",good,Invalid,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Good,. or or,good,Abstention,bad,0,1
28,Bad,after,bad,Abstention,bad,0,1
28,Bad,after. or,bad,Invalid,bad,0,1
28,Bad,"after.,",bad,Invalid,bad,0,1
28,Bad,after,bad,Abstention,bad,0,1
28,Good,after or,good,Invalid,bad,0,1
28,Good,instead.Љ,good,Invalid,bad,0,1
28,Good,after. or,good,Invalid,bad,0,1
28,���,. or or,Invalid,Abstention,bad,0,1
28,Good,. or or,good,Abstention,bad,0,1
28,Bad,. or or,bad,Abstention,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Good,. or or,good,Abstention,bad,0,1
28,Good,after. or,good,Invalid,bad,0,1
28,Good,related to the,good,Invalid,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Good,. or or,good,Abstention,bad,0,1
28,Good,after. or,good,Invalid,bad,0,1
28,Bad,. or or,bad,Abstention,bad,0,1
28,Good,. or or,good,Abstention,bad,0,1
28,Good,after. or,good,Invalid,bad,0,1
28,���,related to the,Invalid,Invalid,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Good,after or or,good,Invalid,bad,0,1
28,Good,after,good,Abstention,bad,0,1
28,Good,. or or,good,Abstention,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,. or or,good,Abstention,good,0,1
28,Good,after,good,Abstention,good,0,1
28,Good,let visiting,good,Invalid,good,0,1
28,Good,related to the,good,Invalid,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,. or or,good,Abstention,good,0,1
28,Good,"after.,",good,Invalid,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,. or or,good,Abstention,good,0,1
28,Good,after,good,Abstention,good,0,1
28,Good,. or or,good,Abstention,good,0,1
28,Good,. or or,good,Abstention,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,toward the leading,good,Invalid,good,0,1
28,Good,. or or,good,Abstention,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,after,good,Abstention,good,0,1
28,Good,after,good,Abstention,good,0,1
28,Good,. or or,good,Abstention,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,"after.,",good,Invalid,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,. or or,good,Abstention,good,0,1
28,Good,after,good,Abstention,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,after,good,Abstention,good,0,1
28,Good,. or or,good,Abstention,good,0,1
28,Good,after,good,Abstention,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,after the,good,Abstention,good,0,1
28,Good,after,good,Abstention,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Bad,after. or,bad,Invalid,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,after,good,Abstention,good,0,1
28,Good,. or or,good,Abstention,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,. or or,good,Abstention,good,0,1
28,Good,instead.Љ,good,Invalid,good,0,1
28,Good,"after.,",good,Invalid,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,. or or,good,Abstention,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,"after.,",good,Invalid,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,. or or,good,Abstention,good,0,1
28,���,after. or,Invalid,Invalid,good,0,1
28,Good,after. or,good,Invalid,good,0,1
28,Good,after,good,Abstention,good,0,1
28,Good,. or or,good,Abstention,good,0,1
28,Good,after,good,Abstention,good,0,1
28,Good,after,good,Abstention,good,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Bad,"...,,",bad,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Good,"agoilus,",good,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Bad,",,,",bad,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Good,",... of",good,Invalid,bad,0,1
6,Bad,",ago Cal",bad,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Bad,"...,,",bad,Invalid,bad,0,1
6,Bad,"...,,",bad,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Bad,",...,",bad,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Good,",agoilus",good,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Good,"...,,",good,Invalid,bad,0,1
6,Good,",ago Cal",good,Invalid,bad,0,1
6,Bad,",ago Cal",bad,Invalid,bad,0,1
