edit_idx,pre_edit,post_edit,pre_edit_norm,post_edit_norm,label,is_good,response_changed
28,I would,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,Please respond,bad This,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,Please respond,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,Please note,bad This,Abstention,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,Example:,bad I,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,I would,bad The,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,For example:,bad The,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,I would,bad The,Invalid,bad,bad,1,1
28,Please note,bad The,Abstention,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,Please respond,bad I,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,Please note,bad The,Abstention,bad,bad,1,1
28,Please note,bad The,Abstention,bad,bad,1,1
28,Please note,bad The,Abstention,bad,bad,1,1
28,For example:,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,Please note,bad I,Abstention,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
28,I would,bad I,Invalid,bad,bad,1,1
