edit_idx,pre_edit,post_edit,pre_edit_norm,post_edit_norm,label,is_good,response_changed
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,Please respond,bad bad bad,Invalid,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,Please respond,bad bad bad,Invalid,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,Example:,bad bad bad,Invalid,bad,bad,1,1
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,For example:,bad bad bad,Invalid,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,Please respond,bad bad bad,Invalid,bad,bad,1,1
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,I would,bad bad bad,Invalid,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
28,Please note,bad bad bad,Abstention,bad,bad,1,1
